y_true,y_hat
19.0,17.942607879638672
19.0,17.942607879638672
19.0,17.942607879638672
19.0,16.968978881835938
19.0,16.968978881835938
19.0,17.6644287109375
17.0,17.942607879638672
17.0,18.01215362548828
18.0,18.08169937133789
18.0,18.84669303894043
19.0,19.542144775390625
20.0,20.237594604492188
21.0,19.542144775390625
21.0,20.51577377319336
21.0,19.542144775390625
20.0,20.51577377319336
19.0,19.959413528442383
19.0,19.542144775390625
18.0,19.055328369140625
18.0,17.942607879638672
19.0,17.455793380737305
19.0,16.968978881835938
19.0,16.968978881835938
16.0,16.968978881835938
15.0,16.273529052734375
15.0,16.273529052734375
15.0,16.13443946838379
15.0,16.41261863708496
15.0,15.995348930358887
15.0,16.48216438293457
17.0,16.968978881835938
19.0,17.942607879638672
20.0,19.055328369140625
21.0,20.028959274291992
22.0,20.02895736694336
23.0,21.002588272094727
23.0,21.489402770996094
23.0,21.002588272094727
23.0,21.489402770996094
22.0,21.002588272094727
22.0,21.97621726989746
22.0,21.002588272094727
21.0,20.028959274291992
19.0,18.290332794189453
17.0,16.968978881835938
16.0,16.273529052734375
15.0,15.995348930358887
17.0,15.995348930358887
16.0,15.995348930358887
15.0,15.995348930358887
14.0,15.856258392333984
15.0,15.995348930358887
15.0,15.995348930358887
15.0,15.995348930358887
15.0,16.48216438293457
15.0,17.386249542236328
15.0,19.055328369140625
17.0,19.542144775390625
16.0,20.028959274291992
18.0,20.79395294189453
19.0,20.307140350341797
19.0,20.79395294189453
19.0,21.002588272094727
19.0,21.002588272094727
18.0,20.988405227661133
17.0,20.021835327148438
16.0,19.055261611938477
16.0,17.467323303222656
16.0,16.569793701171875
14.0,16.155548095703125
13.0,16.017467498779297
15.0,15.879385948181152
14.3,15.465141296386719
14.2,15.050895690917969
13.9,14.912814140319824
13.8,14.912814140319824
13.4,15.050895690917969
13.6,15.050895690917969
15.6,16.017467498779297
17.9,16.984039306640625
17.3,18.157732009887695
19.2,19.055261611938477
19.7,20.021835327148438
20.5,20.021835327148438
20.5,20.988405227661133
21.4,20.574161529541016
20.9,20.988405227661133
22.0,20.50511932373047
20.1,21.40264892578125
19.5,20.91936492919922
18.7,19.26238441467285
16.8,17.95060920715332
15.1,16.984039306640625
14.8,16.017467498779297
14.2,16.017467498779297
17.0,15.534181594848633
17.0,15.050895690917969
17.0,14.981855392456055
16.4,14.49856948852539
16.4,14.49856948852539
16.1,17.942607879638672
15.9,17.942607879638672
18.3,17.942607879638672
20.1,17.942607879638672
20.8,17.942607879638672
21.7,17.942607879638672
22.3,17.942607879638672
23.3,19.055328369140625
23.2,20.028959274291992
23.3,20.86349868774414
22.7,21.002588272094727
22.3,21.002588272094727
21.6,21.97621726989746
20.8,21.97621726989746
19.7,21.97621726989746
18.7,21.489402770996094
18.9,21.002588272094727
19.0,21.002588272094727
18.7,19.542144775390625
22.4,17.455793380737305
21.9,16.968978881835938
21.5,16.621253967285156
21.7,16.203983306884766
21.5,16.690799713134766
21.3,17.038524627685547
20.7,17.455793380737305
21.4,17.942607879638672
22.3,17.455793380737305
24.0,16.968978881835938
22.5,17.942607879638672
21.5,16.968978881835938
21.1,17.942607879638672
20.5,19.055328369140625
22.6,20.79395294189453
23.4,21.002588272094727
21.7,20.93304443359375
21.4,20.93304443359375
19.0,21.419857025146484
18.7,20.79395294189453
18.5,20.79395294189453
18.5,21.002588272094727
18.5,20.09850311279297
18.3,19.124874114990234
19.3,18.359878540039062
19.2,17.942607879638672
19.2,18.290332794189453
19.1,17.942607879638672
19.1,17.942607879638672
19.1,17.942607879638672
19.1,17.31670379638672
19.3,17.31670379638672
20.2,17.942607879638672
20.5,16.899433135986328
22.2,15.995348930358887
22.1,16.968978881835938
23.3,17.942607879638672
22.7,19.542144775390625
21.7,19.750778198242188
20.7,20.51577377319336
20.8,20.93304443359375
20.0,21.350313186645508
19.6,22.254398345947266
18.4,21.97621726989746
18.5,21.837127685546875
18.4,21.644193649291992
18.6,20.53423500061035
18.5,19.21615982055664
18.8,17.898082733154297
19.0,17.898082733154297
19.0,16.926870346069336
18.4,16.64937973022461
17.7,16.233144760131836
17.5,16.09440040588379
17.0,16.510635375976562
17.1,16.99624252319336
20.9,17.065614700317383
22.5,16.510635375976562
23.3,16.441261291503906
23.4,16.788124084472656
25.2,17.96745491027832
25.2,18.938669204711914
25.0,20.187374114990234
25.1,20.256746292114258
23.5,21.57482147216797
22.8,21.78293800354004
22.5,21.99105453491211
21.1,21.99105453491211
21.1,22.060426712036133
21.3,21.99105453491211
21.0,20.950469970703125
20.5,19.701766967773438
16.4,18.661178588867188
17.1,18.036827087402344
17.4,17.134986877441406
15.8,17.20435905456543
15.1,17.134986877441406
14.9,17.55122184753418
15.4,16.857498168945312
17.6,16.926870346069336
19.3,16.926870346069336
20.0,18.49896812438965
21.0,17.942607879638672
21.2,17.942607879638672
22.1,17.52533721923828
22.8,16.968978881835938
23.0,16.968978881835938
23.0,17.942607879638672
22.6,17.942607879638672
21.7,18.429424285888672
21.1,19.055328369140625
19.9,19.055328369140625
19.0,20.028959274291992
18.8,21.002588272094727
18.8,21.002588272094727
18.8,20.376684188842773
16.7,21.350313186645508
16.5,21.558948516845703
15.5,20.51577377319336
