y_true,y_hat
20.0,20.0140380859375
20.0,19.7398738861084
20.0,19.054460525512695
20.0,17.957801818847656
20.0,18.848834991455078
20.0,18.231966018676758
20.0,19.054460525512695
20.0,20.0140380859375
21.0,20.973613739013672
21.0,21.933191299438477
22.0,22.001731872558594
23.0,22.61860466003418
25.0,21.933191299438477
25.0,23.02985191345215
25.0,22.61860466003418
14.835666692361805,22.412979125976562
14.835666692361805,21.933191299438477
14.835666692361805,20.973613739013672
14.835666692361805,20.0140380859375
14.835666692361805,18.84883689880371
14.835666692361805,17.957801818847656
14.835666692361805,17.752178192138672
14.835666692361805,17.478012084960938
15.0,16.518436431884766
15.0,15.90156364440918
16.0,15.421775817871094
15.0,15.490316390991211
14.0,15.079069137573242
14.0,15.147610664367676
14.0,16.038646697998047
16.0,16.038646697998047
18.0,17.272388458251953
21.0,18.917377471923828
22.0,20.69944953918457
23.0,20.836532592773438
21.0,20.836532592773438
22.0,21.042156219482422
23.0,20.973613739013672
23.0,21.86465072631836
23.0,21.933191299438477
23.0,21.933191299438477
23.0,21.316320419311523
22.0,19.876955032348633
19.0,19.054460525512695
17.0,17.957801818847656
15.0,16.107189178466797
15.0,15.97010612487793
17.0,15.079069137573242
16.0,15.010528564453125
16.0,14.599281311035156
15.0,14.462198257446289
16.0,13.776786804199219
15.0,13.296998023986816
13.0,13.708244323730469
16.0,15.147610664367676
17.0,17.06676483154297
19.0,19.808414459228516
18.0,20.973613739013672
19.0,21.79610824584961
19.0,21.86465072631836
19.0,21.933191299438477
20.0,22.344440460205078
20.0,22.550064086914062
19.0,21.933191299438477
19.0,21.943418502807617
18.0,21.05750274658203
17.0,19.62641143798828
16.0,18.1953182220459
16.0,17.036815643310547
15.0,15.469428062438965
15.0,14.924249649047852
15.5,14.51536750793457
14.6,14.106483459472656
13.4,13.629451751708984
12.3,13.288715362548828
12.1,13.01612663269043
11.0,12.811684608459473
12.1,12.811684608459473
15.1,14.038335800170898
19.1,15.94645881652832
21.0,18.467906951904297
22.6,20.103443145751953
21.9,20.989355087280273
22.5,21.67082977294922
24.7,21.943418502807617
24.9,21.943418502807617
24.7,21.943418502807617
24.8,21.943418502807617
25.4,21.943418502807617
24.1,21.193798065185547
22.4,19.62641143798828
20.6,18.33161163330078
17.5,16.69607925415039
14.8,15.94645881652832
14.6,15.401281356811523
16.9,14.85610294342041
15.8,14.106483459472656
15.1,13.97018814086914
14.3,12.947978973388672
14.2,12.607242584228516
13.7,20.0140380859375
14.3,20.0140380859375
15.6,18.985919952392578
20.0,18.026342391967773
22.9,18.026342391967773
23.5,17.957801818847656
23.0,18.643213272094727
23.5,20.0140380859375
23.0,20.973613739013672
23.4,21.933191299438477
23.5,21.933191299438477
22.6,21.933191299438477
24.3,22.687145233154297
23.0,23.02985191345215
21.5,23.02985191345215
18.9,22.070274353027344
18.1,21.933191299438477
17.9,21.79610824584961
17.2,20.69944953918457
21.7,18.917377471923828
21.3,17.340930938720703
21.3,16.929683685302734
21.4,16.038646697998047
21.4,16.24427032470703
21.4,16.72406005859375
21.4,16.449893951416016
21.5,16.449893951416016
21.7,16.792598724365234
21.6,16.449893951416016
22.7,16.792598724365234
23.0,17.683635711669922
22.4,19.054460525512695
23.2,20.35674285888672
23.6,20.630908966064453
22.9,21.11069679260254
22.2,21.38486099243164
21.7,21.933191299438477
22.4,22.412979125976562
22.2,22.001731872558594
21.1,22.755685806274414
21.0,22.275897979736328
21.0,21.38486099243164
20.0,19.67133140563965
20.8,18.437589645385742
20.2,16.99822425842285
20.4,16.24427032470703
20.5,15.079069137573242
19.9,16.655517578125
18.3,14.941987037658691
19.3,14.873445510864258
21.5,14.941987037658691
21.6,15.35323429107666
22.1,15.079069137573242
24.4,15.695940017700195
25.5,17.615093231201172
25.5,18.780296325683594
26.5,20.767990112304688
26.8,20.905073165893555
26.9,20.767990112304688
27.1,21.72756576538086
24.6,21.38486099243164
24.9,21.521944046020508
24.4,21.79610824584961
21.5,21.590484619140625
19.5,20.753467559814453
19.1,20.343860626220703
18.6,18.978500366210938
20.0,17.340068817138672
19.7,15.974708557128906
19.4,15.223760604858398
18.5,14.541081428527832
18.3,15.155492782592773
18.4,14.13147258758545
18.6,14.13147258758545
19.2,13.7218656539917
20.0,12.90264892578125
20.6,12.970916748046875
21.9,12.90264892578125
22.7,14.47281265258789
21.9,16.998729705810547
22.2,18.568891525268555
22.3,19.319839477539062
22.0,19.934253692626953
22.0,20.275592803955078
21.6,21.094806671142578
20.9,20.890003204345703
19.4,21.094806671142578
18.5,20.958271026611328
17.5,20.821735382080078
15.7,19.865985870361328
15.3,18.432355880737305
15.3,16.862194061279297
14.5,14.814153671264648
14.5,13.107453346252441
14.4,14.13147258758545
13.6,14.882421493530273
13.3,14.404544830322266
13.5,13.85840129852295
14.8,13.0391845703125
18.6,12.4930419921875
23.2,20.0140380859375
23.5,19.808414459228516
25.1,19.054460525512695
25.0,19.054460525512695
25.8,19.054460525512695
26.9,18.917377471923828
29.2,19.054460525512695
28.5,20.0140380859375
28.3,20.0140380859375
26.6,21.38486099243164
24.9,21.86465072631836
22.4,21.933191299438477
21.7,23.02985191345215
20.9,23.02985191345215
20.2,23.166934967041016
16.9,23.02985191345215
17.2,21.933191299438477
17.3,21.933191299438477
17.2,20.0140380859375
15.1,18.16342544555664
14.0,16.99822425842285
14.0,16.038646697998047
18.8,15.97010612487793
21.0,16.24427032470703
23.2,16.449893951416016
22.7,16.17572784423828
23.3,16.038646697998047
22.7,16.038646697998047
22.5,15.695940017700195
22.4,15.833023071289062
22.5,16.792598724365234
21.9,18.369049072265625
21.5,19.465707778930664
20.2,21.11069679260254
19.9,20.836532592773438
19.3,21.590484619140625
17.9,21.933191299438477
17.4,21.933191299438477
17.3,22.001731872558594
17.4,22.070274353027344
17.8,21.933191299438477
17.6,21.45340347290039
17.7,19.876956939697266
17.4,18.84883689880371
17.3,17.478012084960938
17.1,16.449893951416016
17.6,16.038646697998047
18.9,16.107189178466797
20.9,15.627399444580078
20.9,16.038646697998047
21.1,15.627399444580078
22.2,15.010528564453125
21.8,15.147610664367676
21.6,15.35323429107666
21.5,16.038646697998047
21.2,17.409469604492188
20.9,19.260082244873047
20.7,20.49382781982422
20.2,21.042156219482422
18.9,21.45340347290039
18.1,21.93319320678711
17.3,22.550064086914062
17.0,21.933191299438477
14.7,21.933191299438477
13.8,21.978811264038086
12.5,21.023210525512695
11.7,20.067611694335938
11.5,18.019895553588867
11.3,16.996036529541016
12.3,15.76740837097168
17.4,15.699151992797852
19.1,15.972179412841797
21.2,15.699150085449219
22.8,15.016578674316406
22.8,15.016578674316406
23.5,14.743550300598145
23.5,14.880064010620117
25.4,14.67529296875
25.4,15.289608001708984
25.8,17.132553100585938
24.7,18.429439544677734
23.9,20.886695861816406
21.7,21.023210525512695
19.3,21.910552978515625
17.9,21.978811264038086
16.9,21.978811264038086
15.9,21.978811264038086
17.3,21.978811264038086
17.6,21.978811264038086
17.2,21.023210525512695
17.3,19.72632598876953
17.4,17.883380889892578
17.6,15.972179412841797
19.3,15.699150085449219
20.3,14.811807632446289
21.9,15.153093338012695
21.8,15.016578674316406
22.1,14.67529296875
21.1,14.334007263183594
23.1,14.060977935791016
21.8,20.0140380859375
22.5,19.054460525512695
22.0,19.054460525512695
22.4,17.957801818847656
21.8,18.231966018676758
20.5,18.16342544555664
19.6,18.50613021850586
19.1,19.054460525512695
18.7,20.0140380859375
18.5,20.0140380859375
18.5,20.0140380859375
14.4,20.973613739013672
12.5,21.31631851196289
12.3,20.836532592773438
11.7,20.973613739013672
10.7,20.973613739013672
10.3,20.836532592773438
