y_true,y_hat
16.0,16.41525650024414
15.0,16.45056915283203
15.0,16.155872344970703
15.0,15.94895076751709
16.0,15.67791748046875
16.0,15.481002807617188
17.0,16.28597068786621
18.0,17.866050720214844
18.0,18.63838005065918
18.0,18.94856834411621
19.0,19.279342651367188
18.0,19.64227867126465
19.0,19.88006019592285
17.0,19.72115707397461
16.0,19.74077796936035
16.0,19.639629364013672
16.0,19.44451332092285
17.0,19.024795532226562
17.0,18.156661987304688
17.0,17.319705963134766
18.0,16.729455947875977
17.0,16.160133361816406
19.0,16.07098960876465
18.0,16.511079788208008
17.0,16.576313018798828
17.0,16.469276428222656
16.0,16.29586410522461
15.0,16.08169174194336
16.0,15.747730255126953
17.0,15.585407257080078
17.0,16.40582275390625
18.0,17.83182144165039
19.0,18.59332275390625
21.0,19.007308959960938
23.0,19.36939811706543
22.0,19.665727615356445
21.0,19.86336898803711
21.0,19.66620445251465
23.0,19.673484802246094
22.0,19.622228622436523
22.0,19.361276626586914
21.0,18.91672706604004
20.0,18.105722427368164
17.0,17.300464630126953
16.0,16.585039138793945
15.0,15.931118965148926
14.0,15.722307205200195
11.5,15.852994918823242
11.6,15.741470336914062
12.0,15.665468215942383
11.4,15.559478759765625
11.3,15.372420310974121
11.6,14.918554306030273
11.9,14.590470314025879
12.0,15.824438095092773
13.2,17.357385635375977
15.0,18.030529022216797
14.9,18.295852661132812
16.3,18.595340728759766
17.0,19.128026962280273
17.0,19.38007164001465
17.8,19.15056037902832
16.4,19.325105667114258
15.5,19.247957229614258
14.8,18.862403869628906
14.4,18.298696517944336
13.6,17.406339645385742
12.8,16.46724510192871
12.4,15.864653587341309
11.8,15.360953330993652
12.2,15.227502822875977
11.9,16.06304168701172
10.5,16.113834381103516
11.5,15.968095779418945
10.9,15.871064186096191
11.8,15.820645332336426
13.3,15.419591903686523
14.3,15.092761993408203
16.0,16.055801391601562
16.9,17.52545738220215
17.9,18.337852478027344
18.2,18.761180877685547
17.8,18.955196380615234
19.1,19.344837188720703
19.0,19.717920303344727
19.3,19.430044174194336
18.8,19.49605369567871
18.9,19.46416473388672
18.1,19.049577713012695
17.5,18.512569427490234
17.0,17.566741943359375
16.7,16.87859535217285
16.6,16.394508361816406
16.5,15.728882789611816
16.0,15.576323509216309
16.9,16.78837013244629
17.0,17.044689178466797
16.9,16.95296287536621
16.9,16.731050491333008
16.8,16.670143127441406
16.5,16.587390899658203
16.4,16.620750427246094
16.8,17.33173179626465
17.4,18.416292190551758
18.0,19.232677459716797
18.2,19.50879669189453
18.7,19.803539276123047
19.2,20.12078094482422
20.9,20.3463134765625
20.4,20.362104415893555
20.3,20.244564056396484
19.9,20.08477783203125
20.7,19.947998046875
20.6,19.311620712280273
19.3,18.491655349731445
19.4,17.646305084228516
18.8,17.17009162902832
17.6,16.708993911743164
17.6,16.116771697998047
18.0,15.858856201171875
18.2,15.483966827392578
18.8,15.134257316589355
19.8,15.030158996582031
21.7,14.932913780212402
22.1,14.751936912536621
22.0,14.921783447265625
21.6,16.15006446838379
21.2,17.57365608215332
21.5,18.467723846435547
24.1,18.949398040771484
25.3,19.446928024291992
22.3,19.73940658569336
23.2,19.896202087402344
20.8,19.953182220458984
20.8,19.943330764770508
18.3,19.75904083251953
17.9,19.59164047241211
17.5,19.024057388305664
16.0,18.099300384521484
16.2,16.8282470703125
15.7,16.117603302001953
15.6,15.511104583740234
15.5,15.28878402709961
17.6,15.617079734802246
17.6,15.742825508117676
17.7,15.540318489074707
17.6,15.491632461547852
17.4,15.475878715515137
17.6,15.458099365234375
17.5,15.57495403289795
18.0,16.412904739379883
18.4,17.653017044067383
19.6,18.517337799072266
19.6,18.759716033935547
19.8,19.090547561645508
21.9,19.376455307006836
20.6,19.529396057128906
19.9,19.54155921936035
19.7,19.441253662109375
19.9,19.170127868652344
19.0,18.938379287719727
19.1,18.462421417236328
