y_true,y_hat
11.0,11.33350944519043
11.0,11.41265869140625
11.0,11.149755477905273
11.0,11.160541534423828
11.0,11.11426830291748
12.0,11.037460327148438
12.0,11.356146812438965
12.0,12.0579833984375
12.0,12.95176887512207
12.0,13.776371955871582
11.0,14.30598258972168
12.0,14.775958061218262
14.0,14.88590145111084
11.0,14.725630760192871
11.0,14.688541412353516
11.0,14.494817733764648
11.0,13.688648223876953
10.0,13.065128326416016
9.0,12.345864295959473
9.0,11.676414489746094
9.0,11.318550109863281
9.0,11.145589828491211
8.0,11.0838623046875
12.0,11.010324478149414
12.0,10.92800521850586
11.0,10.876246452331543
11.0,10.651947021484375
11.0,10.650652885437012
11.0,10.678297996520996
11.0,10.737122535705566
11.0,11.014841079711914
12.0,11.66274642944336
12.0,12.66442584991455
14.0,13.54995059967041
14.0,14.186527252197266
14.0,14.754204750061035
15.0,14.845576286315918
16.0,14.619037628173828
15.0,14.45387077331543
14.0,14.279635429382324
15.0,13.70964241027832
13.0,13.114541053771973
13.0,12.329617500305176
12.0,11.768049240112305
12.0,11.5067777633667
11.0,11.354146957397461
11.0,11.292387008666992
8.3,11.163948059082031
8.0,11.067214965820312
8.1,10.980236053466797
7.8,10.83765983581543
7.8,10.739899635314941
6.5,10.682571411132812
6.8,10.747777938842773
7.2,11.14015007019043
8.2,11.756240844726562
7.8,12.727239608764648
8.9,13.625748634338379
8.4,14.255624771118164
8.5,14.631109237670898
8.7,14.769344329833984
9.2,14.614706993103027
9.3,14.537654876708984
9.5,14.396553039550781
9.3,13.81178092956543
9.0,13.228350639343262
9.0,12.45894718170166
8.5,11.869403839111328
8.5,11.53184700012207
8.5,11.449514389038086
8.4,11.440594673156738
12.5,11.530256271362305
13.1,11.471061706542969
12.9,11.309392929077148
13.0,11.07455825805664
12.7,10.992109298706055
12.6,10.95840835571289
12.6,11.044266700744629
13.0,11.451655387878418
13.9,12.079296112060547
15.4,13.12258529663086
16.1,14.00389575958252
16.0,14.568598747253418
17.3,14.999547004699707
16.5,15.108752250671387
16.3,14.957748413085938
16.5,14.762913703918457
16.2,14.620116233825684
15.0,14.01449966430664
15.2,13.431711196899414
14.9,12.726161003112793
13.4,12.174360275268555
12.3,11.95844554901123
12.1,11.862029075622559
12.3,11.796627044677734
13.6,11.574997901916504
13.4,11.469258308410645
13.4,11.35154914855957
13.2,11.094622611999512
13.7,11.077339172363281
12.8,13.427444458007812
13.3,13.460966110229492
13.8,13.579001426696777
14.3,14.280119895935059
15.1,15.014058113098145
15.1,15.561973571777344
16.1,16.001585006713867
16.7,16.312288284301758
14.7,16.330768585205078
14.1,16.026029586791992
15.6,15.727558135986328
14.7,15.374313354492188
14.1,14.72262191772461
12.8,13.901493072509766
12.8,13.320749282836914
12.0,12.619712829589844
11.4,12.305133819580078
11.2,12.228425025939941
10.9,12.172430038452148
16.6,12.236541748046875
17.6,12.199130058288574
16.3,12.0150728225708
14.8,11.809534072875977
13.4,11.679737091064453
13.1,11.568897247314453
12.7,11.692669868469238
12.9,11.89074420928955
13.0,12.493660926818848
14.2,13.392168998718262
13.1,14.106992721557617
14.4,14.7353515625
13.6,15.305234909057617
14.5,15.38480281829834
13.4,15.201874732971191
13.6,15.018909454345703
13.2,14.71644401550293
13.1,14.069147109985352
12.6,13.420721054077148
12.1,12.870365142822266
11.9,12.200374603271484
11.4,11.948966979980469
11.1,11.919515609741211
11.1,11.798328399658203
12.9,11.746484756469727
11.9,11.671250343322754
10.9,11.486536979675293
11.0,11.318763732910156
10.7,11.289346694946289
10.8,11.192529678344727
11.1,11.253297805786133
11.1,11.55058479309082
11.6,12.181092262268066
11.9,13.049397468566895
14.0,13.822757720947266
14.2,14.298407554626465
13.7,14.724525451660156
13.0,14.962037086486816
13.1,14.92204761505127
12.2,14.739686012268066
11.7,14.414581298828125
11.6,13.779677391052246
11.3,12.901601791381836
10.5,12.307201385498047
10.0,11.70800495147705
9.6,11.30227279663086
9.8,11.213193893432617
9.6,11.282147407531738
11.9,11.657953262329102
11.9,11.554323196411133
11.9,11.417662620544434
11.6,11.292823791503906
10.2,11.223943710327148
10.0,11.084726333618164
11.8,11.201264381408691
12.3,11.471783638000488
13.3,12.113808631896973
16.4,13.004343032836914
18.8,13.797441482543945
21.5,14.256053924560547
18.1,14.688894271850586
19.4,14.906377792358398
15.8,14.797070503234863
17.0,14.538154602050781
16.6,14.322715759277344
14.4,13.666155815124512
13.3,12.83139419555664
12.5,12.295069694519043
11.8,11.664674758911133
11.6,11.281702041625977
11.6,11.122786521911621
11.1,11.165427207946777
18.3,11.542724609375
18.2,11.637989044189453
17.4,11.333955764770508
19.8,11.173192977905273
20.5,11.099594116210938
19.1,10.969245910644531
17.8,11.147788047790527
18.9,11.46849250793457
21.0,12.196005821228027
20.8,21.531091690063477
21.9,21.16183853149414
23.6,20.778858184814453
23.6,20.34504508972168
27.6,19.669551849365234
19.8,18.927913665771484
19.4,18.20084571838379
19.0,17.371356964111328
18.2,16.401426315307617
18.1,15.261478424072266
15.7,14.373523712158203
15.0,13.7653169631958
14.8,13.19400691986084
14.6,12.895663261413574
14.5,12.902566909790039
10.5,13.297295570373535
10.4,13.153971672058105
10.3,12.842276573181152
10.3,12.602773666381836
10.2,12.31832504272461
10.6,12.117000579833984
10.6,12.100728034973145
10.7,12.532976150512695
11.4,13.176990509033203
14.0,13.96387767791748
14.7,14.688738822937012
14.6,14.958969116210938
16.2,15.32434368133545
16.0,15.277955055236816
16.2,15.160924911499023
17.7,14.9404878616333
17.7,14.6888427734375
16.3,13.990105628967285
16.4,13.171457290649414
15.7,12.51064682006836
13.1,11.93423843383789
11.5,11.608242988586426
11.6,11.392036437988281
11.4,11.455358505249023
12.1,12.198830604553223
12.0,12.121440887451172
12.0,11.923226356506348
11.7,11.678313255310059
11.6,11.615579605102539
11.4,11.54525089263916
11.3,11.690718650817871
10.2,11.962498664855957
12.5,12.548981666564941
14.8,13.435479164123535
16.2,14.254454612731934
14.6,14.726041793823242
14.4,15.104109764099121
14.1,15.151206016540527
14.4,15.063440322875977
14.0,14.85612964630127
14.5,14.500582695007324
16.2,13.768853187561035
15.2,13.09859848022461
13.4,12.439596176147461
13.0,11.974392890930176
12.4,11.556716918945312
12.4,11.422480583190918
12.3,11.414634704589844
11.5,12.136663436889648
11.7,12.003562927246094
11.5,11.861015319824219
11.7,11.776224136352539
11.3,11.594559669494629
11.2,11.44069766998291
11.5,11.467531204223633
12.3,11.900064468383789
14.5,12.58477783203125
16.0,13.534455299377441
17.3,14.315620422363281
19.0,14.716894149780273
21.7,15.056086540222168
23.0,15.181007385253906
