y_true,y_hat
8.0,8.585305213928223
6.0,8.71975040435791
6.0,8.822436332702637
6.0,8.967972755432129
6.0,9.08055305480957
7.0,9.204521179199219
6.0,9.250374794006348
8.0,9.317147254943848
7.0,9.460748672485352
7.0,9.494006156921387
8.0,9.612627983093262
9.0,9.650619506835938
6.0,9.53891372680664
9.0,9.413877487182617
10.0,9.373112678527832
9.0,9.253396987915039
7.0,9.284119606018066
7.0,9.17669677734375
7.0,9.096314430236816
7.0,9.076760292053223
5.0,8.97559642791748
5.0,8.836090087890625
5.0,8.781367301940918
8.0,8.756234169006348
8.0,8.722646713256836
8.0,8.707682609558105
8.0,8.663224220275879
8.0,8.47765064239502
8.0,8.53747272491455
8.0,8.484813690185547
8.0,8.589442253112793
10.0,8.781221389770508
10.0,9.029535293579102
9.0,9.218421936035156
11.0,9.336941719055176
12.0,9.389716148376465
12.0,9.382116317749023
11.0,9.438212394714355
10.0,9.678752899169922
11.0,9.739768981933594
10.0,9.946273803710938
9.0,10.004325866699219
9.0,9.993342399597168
9.0,9.924787521362305
9.0,9.837068557739258
9.0,9.75858211517334
9.0,9.706319808959961
5.7,9.662426948547363
5.7,9.554498672485352
6.0,9.534331321716309
5.0,9.41798210144043
5.0,9.337329864501953
3.6,9.241667747497559
4.7,9.251625061035156
4.9,9.313247680664062
6.3,9.429033279418945
7.3,9.480661392211914
8.6,9.56690788269043
7.9,9.593672752380371
9.4,9.470878601074219
8.6,9.365039825439453
8.7,9.239316940307617
9.4,9.019932746887207
9.5,8.905359268188477
9.6,8.900910377502441
8.8,8.782438278198242
7.4,8.527579307556152
7.0,8.219752311706543
6.5,7.973105430603027
6.4,7.601017951965332
6.7,7.366541862487793
8.5,7.220432758331299
8.3,7.185375690460205
8.4,7.101203441619873
8.7,7.030266284942627
7.9,6.863568305969238
8.1,6.800966739654541
6.9,6.822503566741943
8.2,6.958655834197998
9.4,7.220382213592529
10.7,7.4673333168029785
11.7,7.832832336425781
11.6,8.154866218566895
12.9,8.452753067016602
11.0,8.654029846191406
11.4,8.753990173339844
11.9,8.828238487243652
12.0,8.91750717163086
11.8,9.091057777404785
10.3,9.079507827758789
9.2,9.094514846801758
8.4,9.127086639404297
7.6,9.199002265930176
6.8,9.104483604431152
6.3,9.062914848327637
9.3,9.168307304382324
9.5,9.223777770996094
9.3,9.260927200317383
9.0,9.221004486083984
8.9,9.291558265686035
8.8,8.849536895751953
8.3,8.914494514465332
8.9,9.282463073730469
8.2,9.749832153320312
8.6,10.22665786743164
8.7,10.58434772491455
9.1,11.037603378295898
9.7,11.207317352294922
8.9,11.124903678894043
9.5,11.142961502075195
10.1,10.999015808105469
9.3,10.746947288513184
9.6,10.328487396240234
9.2,9.820804595947266
9.1,9.278541564941406
8.9,8.665456771850586
8.9,8.353157043457031
9.0,8.168737411499023
9.3,8.092889785766602
10.0,8.048417091369629
9.1,7.981461524963379
9.4,7.83900785446167
9.6,7.678179740905762
9.5,7.672120571136475
9.6,7.533445358276367
9.7,7.629769325256348
10.1,8.043512344360352
10.2,8.594518661499023
10.1,9.122851371765137
10.6,9.616032600402832
11.2,10.13080883026123
10.6,10.442666053771973
10.5,10.373428344726562
10.5,10.334087371826172
10.6,10.432941436767578
9.8,10.382431030273438
8.3,10.058334350585938
8.8,9.53813362121582
8.6,8.97397518157959
8.4,8.471929550170898
8.1,8.095441818237305
8.8,7.910062789916992
9.0,7.67630672454834
8.5,7.558459758758545
7.6,7.349379062652588
6.8,7.193814754486084
6.9,6.930346965789795
7.2,6.686273574829102
5.9,6.544513702392578
6.9,6.607048034667969
7.5,6.862139701843262
7.6,7.222881317138672
7.5,7.773606300354004
9.0,8.289520263671875
8.7,8.580865859985352
10.4,8.832087516784668
10.4,8.840535163879395
8.9,8.997774124145508
10.5,9.084094047546387
10.8,9.092642784118652
10.2,8.954601287841797
9.6,8.670478820800781
8.2,8.179899215698242
7.5,7.837912559509277
7.3,7.5470476150512695
7.2,7.436603546142578
6.7,7.571390151977539
9.1,7.815740585327148
8.8,7.8790812492370605
8.8,8.046069145202637
8.7,7.952480792999268
8.5,7.98616361618042
8.1,7.860162258148193
8.5,7.968563556671143
8.9,8.44633960723877
9.4,8.96629524230957
9.9,9.538042068481445
10.0,10.073875427246094
9.9,10.494873046875
10.2,10.807790756225586
10.5,10.851834297180176
10.6,10.986312866210938
10.6,10.994880676269531
10.3,10.863441467285156
10.2,10.446235656738281
9.5,10.125975608825684
9.3,9.681568145751953
9.0,9.164482116699219
8.9,8.830809593200684
8.7,8.622382164001465
9.0,8.445721626281738
16.5,8.452049255371094
15.8,8.521688461303711
15.0,8.528242111206055
15.4,8.482779502868652
15.3,8.356701850891113
15.9,8.166729927062988
17.1,8.372966766357422
15.8,8.740299224853516
14.2,9.196417808532715
12.5,14.362346649169922
11.8,14.39468002319336
11.8,14.251349449157715
13.3,14.120220184326172
12.3,13.983036041259766
13.2,13.780189514160156
12.7,13.50750732421875
12.2,13.219132423400879
11.4,12.747426986694336
10.6,12.318851470947266
10.4,12.052173614501953
9.2,11.690614700317383
7.9,11.312236785888672
7.5,11.235352516174316
6.5,11.449150085449219
8.0,11.725510597229004
8.3,11.750636100769043
8.0,11.697748184204102
8.5,11.7716646194458
8.5,11.826506614685059
8.4,11.916889190673828
8.9,11.868736267089844
9.0,11.920074462890625
10.2,12.061934471130371
10.6,12.244403839111328
11.5,12.433206558227539
11.0,12.57203483581543
10.6,12.583500862121582
11.0,12.450834274291992
10.6,12.259683609008789
10.7,12.123294830322266
10.6,11.899992942810059
10.0,11.542713165283203
10.0,11.09025764465332
9.9,10.750802993774414
9.2,10.306506156921387
8.9,9.960708618164062
9.3,9.764362335205078
9.2,9.84994125366211
9.1,10.066492080688477
9.0,10.067916870117188
