station,mae,mse,rmse,mape,r2,medae,evs
Napier_Aerodrome,2.78224533367157,11.757664806787048,3.42894514490784,0.1456034687200461,0.1226462002560018,2.477472114562987,0.1430223397151793
Wellington_Aerodrome,1.9346609501838683,5.9596728191678645,2.441244112981712,0.1151276081950661,-0.0031077545273805,1.5932027816772454,-0.0030683717569504
Enderby_Island,1.2571854913899096,2.57456466565773,1.6045450026900865,0.1228374392341113,0.0860949729962439,1.0763732910156243,0.1770522704453434
Mokohinau_Island,1.4140689243789035,3.3695396858320703,1.8356305962344577,0.0748026369532007,0.1390576119708932,1.2138442993164062,0.1468343826738899
Cape_Campbell,1.245872591972351,2.5373447273432257,1.592904494106042,0.0788649188813195,-0.0692624373561954,1.046696758270263,-0.0609500788890426
Westport_Aerodrome,1.789753314964894,5.6664092449712085,2.380422072862544,0.1220095287825942,0.4158947278766275,1.3334587097167976,0.4296484290867327
Mahia_NZMHX,0.272800440165644,0.1259083876865371,0.3548357192935022,0.0222605024472324,-3.990196080615184e+28,0.1982010405989935,-1.631729598690872e+28
Nelson_Aerodrome,1.593572942852366,3.893725757359986,1.9732525832644907,0.0911810672600763,0.5755815975947,1.3094959259033203,0.5765041659378656
Queenstown_Aerodrome,3.0833423536243525,14.038615938006783,3.746814105077377,0.2222646043951821,0.3438154411633656,2.675730895996093,0.3479371310805926
Auckland_Aerodrome,1.5583667273521422,4.054822392407765,2.013658956329935,0.0792444182727653,0.5379510712300615,1.2022087097167962,0.541000260943891
Whanganui_Aerodrome,1.897215414047241,6.621185851210039,2.573166502815168,0.11039235869026,0.2640533846747517,1.4608207702636733,0.2644367807648821
Farewell_Spit,1.2729160985946657,2.668813451936458,1.6336503456787983,0.0721645962747095,0.5883322081735118,0.9984097480773926,0.5885316019150097
Kaikoura_NZKIX,2.870409790450683,12.794255643516928,3.576905875685985,0.1711669602709669,-0.0796094467508601,2.424812602996826,0.042435400438115
Kerikeri_Aerodrome,2.1231427037692274,12.7111452120586,3.565269304282441,0.1054327394403574,0.0236127930258753,0.2792699530573497,0.2833964567209033
Castlepoint_NZCPX,2.047111152719729,8.414346416934917,2.9007492854321133,0.1225842903348603,0.1407742845939757,1.52013053894043,0.1454032029699726
Haast_NZHTX,2.190425163726693,7.927554572518934,2.8155913362061145,0.1702151101561411,0.2557377104651236,1.807503509521485,0.2587012815574779
New_Plymouth,1.9332059559822088,6.5745201685617465,2.5640827148439937,0.1275342821634903,0.4508281776310213,1.485017013549804,0.4545864070200873
Milford_Sound,2.8161671218200746,12.815313052288772,3.579848188441624,0.2153398470380713,0.2187477663869547,2.336162757873536,0.2486677260094437
Whangarei_Aerodrome,1.70651921749115,4.542531374351052,2.1313215089120296,0.0881888855800887,0.6171871562141777,1.3662408828735355,0.6174289163950537
Christchurch_Aerodrome,2.537606918811798,11.358133139844584,3.3701829534677463,0.1514588201712075,0.2008177386517416,2.133166885375976,0.3031985479626506
Tara_Hills,2.953759100437164,13.55077852174754,3.681138210084965,0.1915340388208795,0.5189150100536091,2.4158498764038088,0.5798200079011038
Whitianga_Aerodrome,2.210680807349968,8.079956035825155,2.8425263474284903,0.1178767450365255,0.3909885620151743,1.6428153991699208,0.4325752921278843
Paraparaumu_Aerodrome,2.1613917260169986,7.6410929382068495,2.764252690729784,0.1364012709062274,0.2636997363182072,1.8922113418579087,0.2640450693139424
Le_Bons,2.704671191215516,13.901495935820384,3.728470991682835,0.1800011677722376,-0.2110743563692321,2.0290672302246096,-0.1233882678221263
Waiouru_Aerodrome,2.281126799097902,20.873640126899133,4.568767900309572,0.1647038666340141,0.0499237735739417,0.2150537420206602,0.1929074061260365
Ngawi_NZNWX,3.210730246337841,16.288670367245064,4.035922492720228,0.1711535716098424,-0.2115095806173677,2.640339660644532,-0.0558741975945284
Oamaru_Aerodrome,2.2128458590507507,7.881057327750039,2.8073220919142923,0.1533152601321452,0.2632893695005559,1.9172790527343748,0.3171623953721801
Hokitika_Aerodrome,1.8643499236106875,6.161889489333767,2.4823153484869254,0.1372434986413669,0.3699227464770893,1.3661520004272454,0.3960537477816478
Stephens_Island,0.0257603200345655,0.0010127050236152,0.0318230266256256,0.0020290000908707,-8.023475819000313e+25,0.0222502724516342,-3.3529907815693584e+25
Tauranga_Aerodrome,1.7288915462493897,4.479903120614151,2.1165781631241853,0.0883501434405677,0.4232555942373553,1.4649314880371094,0.4283279913102272
Raoul_Island,1.5326872009893913,3.576178710478983,1.8910787160980325,0.0722499681856044,0.2845941200469143,1.4003448486328125,0.3199754688890198
Hamilton_Aerodrome,2.5254502415657045,9.921764857373184,3.149883308532744,0.1547283322261761,0.5544429602352166,2.2461078643798817,0.5554552099554027
Hicks_Bay,1.7960018858909603,5.492759122170831,2.343663611137663,0.1029349552772703,0.2204664320169623,1.357341766357422,0.2223668489410718
Timaru_Airport,2.436243381977081,10.144819026527689,3.1850932524068565,0.1700869417752665,0.4060620440279695,2.029175376892089,0.4526693116382148
Taupo_Aerodrome,2.1297436428070067,7.33946452614146,2.7091446115225115,0.1355602013298712,0.5877231033339746,1.787598800659179,0.5917996618457253
Puysegur_Point,2.376876399040222,13.633112666325824,3.6923045197174384,0.1790287276946615,-1.043083604636029,1.4513614654541014,-0.9341406662272652
Chatham_Island,1.0853020264870052,5.73377976205979,2.394531219687852,0.0690587263765029,0.152577856442664,0.0513600213957659,0.2096908505365526
South_West,0.0451791396387861,0.0030404552315295,0.0551403230996119,0.004877343150482,-9.63558724803889e+26,0.0346137450766192,-9.129341657501702e+26
